Source,Target,Correct dep inference?,Remark (if needed),Classification
io :: crates :: greenglas :: v_0_2_0,io :: crates :: coaster :: v_0_1_0,FALSE,missing def,GENERIC-FUNC-DF
io :: crates :: serenity :: v_0_4_1,io :: crates :: bitflags :: v_1_0_1,FALSE,macro invocation,MACRO
io :: crates :: coco :: v_0_2_0,io :: crates :: either :: v_1_4_0,FALSE,-,CONDITIONAL
io :: crates :: circbuf :: v_0_1_0,io :: crates :: vecio :: v_0_1_0,TRUE,only used in test cases,TEST-CODE
io :: crates :: worldgen :: v_0_3_2,io :: crates :: wrapping_macros :: v_0_4_13,TRUE,"compiler plugin, extending the compiler behaviour #![plugin(wrapping_macros)]",NOT-IMPORT
io :: crates :: specs_camera :: v_0_3_3,io :: crates :: specs :: v_0_10_0,FALSE,missing def,GENERIC-FUNC-DF
io :: crates :: reproto_semver :: v_0_3_10,io :: crates :: serde :: v_1_0_27,FALSE,generic call,CALL-IN-GEN-DEF
io :: crates :: dds_rs :: v_0_2_0,io :: crates :: prettytable_rs :: v_0_6_7,TRUE,not imported in library code,NOT-IN-LIB
io :: crates :: ruma_client_api :: v_0_1_0,io :: crates :: ruma_api_macros :: v_0_1_0,FALSE,macro declerations only,MACRO
io :: crates :: ena :: v_0_9_0,io :: crates :: dogged :: v_0_2_0,TRUE,imported but not used,NOT-IMPORT
io :: crates :: gattii :: v_0_10_0,io :: crates :: clap :: v_2_30_0,TRUE,not imported in lib,NOT-IN-LIB
io :: crates :: panini :: v_0_0_0,io :: crates :: cfg :: v_0_3_0,FALSE,not used Arena is the,TYPE-ONLY-DEP
io :: crates :: font :: v_0_0_5,io :: crates :: opentype :: v_0_9_1,FALSE,,CALL-IN-GEN-DEF
io :: crates :: s32k144 :: v_0_8_0,io :: crates :: cortex_m :: v_0_4_3,FALSE,calls inside unsafe closure,C-CALL
io :: crates :: euclid :: v_0_10_2,io :: crates :: serde :: v_0_8_23,FALSE,datatypes used in struct impl,TYPE-ONLY-DEP
io :: crates :: redo :: v_0_3_0,io :: crates :: fnv :: v_1_0_6,TRUE,Seems like it is not exported in lib.rs ,NOT-IN-LIB
io :: crates :: redfa :: v_0_0_2,io :: crates :: bit_set :: v_0_4_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: ciruela :: v_0_2_8,io :: crates :: ssh_keys :: v_0_1_0,TRUE,no import,NOT-IMPORT
io :: crates :: symbolic_proguard :: v_2_0_6,io :: crates :: proguard :: v_1_0_0,FALSE,missing def,GENERIC-FUNC-DF
io :: crates :: faktory :: v_0_8_8,io :: crates :: atomic_option :: v_0_1_2,FALSE,Call inside generic,CALL-IN-GEN-DEF
io :: crates :: md_5 :: v_0_4_4,io :: crates :: md5_asm :: v_0_2_1,FALSE,fn call is inside a anonymous clousure which is from a generif cfield type,CALL-IN-GEN-DEF
io :: crates :: fast_fmt :: v_0_1_2,io :: crates :: numtoa :: v_0_0_7,FALSE,used in macro def,MACRO
io :: crates :: disqrust :: v_0_1_0,io :: crates :: redis :: v_0_5_4,TRUE,imported in test,TEST-CODE
io :: crates :: gattii :: v_0_10_0,io :: crates :: gtk :: v_0_1_3,FALSE,use of macro features,MACRO
io :: crates :: bf :: v_0_4_3,io :: crates :: dynasmrt :: v_0_1_3,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: push_trait :: v_0_3_0,io :: crates :: enum_set :: v_0_0_7,FALSE,"#[cfg(feature = ""enum-set"")] but data structures used for impl",CONDITIONAL
io :: crates :: arthas :: v_0_1_1,io :: crates :: objectid :: v_0_1_0,FALSE,imported in use stmt but not used,TYPE-ONLY-DEP
io :: crates :: text_diff :: v_0_4_0,io :: crates :: term :: v_0_2_14,TRUE,"just on examples.md, not even in code",NOT-IMPORT
io :: crates :: melo :: v_0_1_0,io :: crates :: mktemp :: v_0_3_1,TRUE,not imported in lib.rs,NOT-IN-LIB
io :: crates :: parasailors :: v_0_1_1,io :: crates :: parasail_sys :: v_0_1_1,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: gear :: v_0_1_1,io :: crates :: k :: v_0_4_1,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: rulinalg :: v_0_0_2,io :: crates :: matrixmultiply :: v_0_1_14,FALSE,called inside unsafe bracket,C-CALL
io :: crates :: curl :: v_0_3_4,io :: crates :: libc :: v_0_2_36,FALSE,"call is made at libc::atexit(), in the callgraph, libc call appear as atexit()",C-CALL
io :: crates :: micro_kit :: v_1_2_0,io :: crates :: metrics :: v_0_2_3,FALSE,dynamic dispatch (ref ),DYNAMIC-CALL
io :: crates :: ioc :: v_0_6_2,io :: crates :: downcast :: v_0_6_0,FALSE,used as a DS,TYPE-ONLY-DEP
io :: crates :: conrod :: v_0_41_0,io :: crates :: piston_window :: v_0_52_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: euclid :: v_0_8_2,io :: crates :: serde :: v_0_7_15,FALSE,inside generic fn and macro defs,MACRO
io :: crates :: postgres :: v_0_11_10,io :: crates :: eui48 :: v_0_1_0,FALSE,-,CONDITIONAL
io :: crates :: http_api_problem :: v_0_2_5,io :: crates :: iron :: v_0_6_0,FALSE,"#[cfg(feature = ""iron"")]",CONDITIONAL
io :: crates :: servo_glutin :: v_0_12_2,io :: crates :: objc :: v_0_2_2,FALSE,"OS X specific,",CONDITIONAL
io :: crates :: llvm_build_utils :: v_0_2_0,io :: crates :: mktemp :: v_0_2_1,FALSE,call inside unsafe closure,C-CALL
io :: crates :: panini :: v_0_0_0,io :: crates :: gearley :: v_0_0_1,FALSE,Dynamic call `let rightmost_dot_trace = recognizer.grammar().trace()[2];`,DYNAMIC-CALL
io :: crates :: rss_rs :: v_0_1_0,io :: crates :: quick_xml :: v_0_3_1,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: aklat :: v_0_0_19,io :: crates :: ws :: v_0_6_1,TRUE,not in lib.rs,NOT-IN-LIB
io :: crates :: lyon_tessellation :: v_0_5_0,io :: crates :: lyon_path :: v_0_5_0,TRUE,import statments commented,NOT-IMPORT
io :: crates :: persistent_hashmap :: v_0_3_0,io :: crates :: twox_hash :: v_1_1_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: cmac :: v_0_1_0,io :: crates :: dbl :: v_0_1_0,FALSE,-,DYNAMIC-CALL
io :: crates :: thunk :: v_0_3_0,io :: crates :: unreachable :: v_1_0_0,FALSE,unsafe,C-CALL
io :: crates :: thunk :: v_0_1_0,io :: crates :: unreachable :: v_1_0_0,FALSE,unsafe,C-CALL
io :: crates :: criterion_plot :: v_0_1_0,io :: crates :: byteorder :: v_0_4_2,FALSE,"data types used in write_f64, no function calls",TYPE-ONLY-DEP
io :: crates :: stl :: v_0_2_0,io :: crates :: byteorder :: v_0_4_2,FALSE,"calls inside generic (e,g, the write operation)",CALL-IN-GEN-DEF
io :: crates :: ciruela :: v_0_5_3,io :: crates :: gumdrop_derive :: v_0_4_0,TRUE,not imported  but in main,NOT-IMPORT
io :: crates :: lapin_futures :: v_0_5_0,io :: crates :: amq_protocol :: v_0_11_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: brev :: v_0_1_6,io :: crates :: glob :: v_0_2_11,FALSE,call in generic func body,CALL-IN-GEN-DEF
io :: crates :: Lattice :: v_0_3_11,io :: crates :: rusttype :: v_0_2_3,TRUE,imported in window.rs but not lib.rs,NOT-IN-LIB
io :: crates :: httpbin :: v_0_2_1,io :: crates :: tk_listen :: v_0_1_1,TRUE,Not imported in lib.rs,NOT-IN-LIB
io :: crates :: twoway :: v_0_1_2,io :: crates :: odds :: v_0_2_26,TRUE,not exported in lib,NOT-IN-LIB
io :: crates :: elastic_reqwest :: v_0_2_0,io :: crates :: elastic_requests :: v_0_1_7,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: pancakes :: v_0_1_0,io :: crates :: findshlibs :: v_0_2_0,TRUE,just imported and not used,NOT-IMPORT
io :: crates :: charmhelpers :: v_0_1_2,io :: crates :: log :: v_0_3_9,FALSE,only use of DS struct but also empty functions,TYPE-ONLY-DEP
io :: crates :: self_meter :: v_0_4_2,io :: crates :: serde_derive :: v_0_9_15,FALSE,"only declered with macro tag, used as macro",MACRO
io :: crates :: tantivy :: v_0_4_4,io :: crates :: version :: v_2_0_1,FALSE,macro call,MACRO
io :: crates :: specs_sprite :: v_0_3_2,io :: crates :: specs :: v_0_10_0,TRUE,not imported in the lib,NOT-IN-LIB
io :: crates :: smpl_jwt :: v_0_1_2,io :: crates :: serde_derive :: v_0_8_23,FALSE,custom trait impl but not called,TYPE-ONLY-DEP
io :: crates :: libpasta :: v_0_0_4,io :: crates :: optimization :: v_0_1_0,TRUE,never used,NOT-IMPORT
io :: crates :: mp4parse :: v_0_10_0,io :: crates :: abort_on_panic :: v_1_0_0,TRUE,"while it is optional, it is not even used in the first place",NOT-IMPORT
io :: crates :: mould_file :: v_0_0_6,io :: crates :: mould :: v_0_0_17,FALSE,macro use,MACRO
io :: crates :: finder_info :: v_0_1_0,io :: crates :: hex :: v_0_3_1,TRUE,not imported in the library,NOT-IN-LIB
io :: crates :: pastebin :: v_0_4_3,io :: crates :: mongo_driver :: v_0_11_0,TRUE,not imported into lib.rs,NOT-IN-LIB
io :: crates :: tchannel :: v_0_0_2,io :: crates :: futures :: v_0_1_18,FALSE,-,CONDITIONAL
io :: crates :: self_meter :: v_0_4_2,io :: crates :: serde :: v_0_9_15,FALSE,,CONDITIONAL
io :: crates :: coap :: v_0_2_2,io :: crates :: threadpool :: v_0_1_4,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: blake2 :: v_0_3_0,io :: crates :: crypto_ops :: v_0_1_1,FALSE,"part of generic impl, calls inside",CALL-IN-GEN-DEF
io :: crates :: spectra :: v_0_1_0,io :: crates :: vorbis :: v_0_1_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: postgres_range :: v_0_8_2,io :: crates :: time :: v_0_1_39,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: termage :: v_1_0_0,io :: crates :: terminal_size :: v_0_1_7,TRUE,Not imported in lib.rs,NOT-IN-LIB
io :: crates :: piston2d_sprite :: v_0_20_0,io :: crates :: uuid :: v_0_1_18,TRUE,-,NOT-IMPORT
io :: crates :: code_sandwich_crates_io_release_test_macros :: v_0_1_1,io :: crates :: quote :: v_0_3_15,FALSE,types not used,TYPE-ONLY-DEP
io :: crates :: dependy :: v_0_4_0,io :: crates :: daggy :: v_0_5_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: s32k144 :: v_0_8_0,io :: crates :: bare_metal :: v_0_1_1,FALSE,impl trait fn but none is called,TYPE-ONLY-DEP
io :: crates :: diesel :: v_1_1_1,io :: crates :: uuid :: v_0_5_1,FALSE,-,CONDITIONAL
io :: crates :: dcolor :: v_0_3_0,io :: crates :: dnum :: v_0_3_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: lather :: v_0_0_0,io :: crates :: bencher :: v_0_1_5,TRUE,only imported in bin,NOT-IN-LIB
io :: crates :: reustmann :: v_0_1_1,io :: crates :: rustyline :: v_0_2_3,TRUE,not imported in lib.rs,NOT-IN-LIB
io :: crates :: url :: v_1_2_1,io :: crates :: encoding :: v_0_2_33,FALSE,-,CONDITIONAL
io :: crates :: bip39 :: v_0_4_1,io :: crates :: bitreader :: v_0_3_1,FALSE,call inside generic,CALL-IN-GEN-DEF
io :: crates :: ciruela :: v_0_5_3,io :: crates :: ns_env_config :: v_0_1_0,TRUE,only imported in bin,NOT-IN-LIB
io :: crates :: tic :: v_0_3_0,io :: crates :: clocksource :: v_0_2_3,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: euclid :: v_0_10_2,io :: crates :: num_traits :: v_0_1_43,FALSE,the call to num_trait is made in a gen fn,CALL-IN-GEN-DEF
io :: crates :: spectra :: v_0_8_0,io :: crates :: vorbis :: v_0_1_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: shred :: v_0_5_1,io :: crates :: mopa :: v_0_2_2,FALSE,imported as a datatype and no impl,TYPE-ONLY-DEP
io :: crates :: xmodem :: v_0_1_3,io :: crates :: log :: v_0_3_9,FALSE,invoking a macro function,MACRO
io :: crates :: unicode_script :: v_0_1_1,io :: crates :: harfbuzz_sys :: v_0_1_15,FALSE,-,CONDITIONAL
io :: crates :: stochastic :: v_0_5_1,io :: crates :: probability :: v_0_15_11,FALSE,call inside a gen fn,CALL-IN-GEN-DEF
io :: crates :: he_di :: v_0_1_0,io :: crates :: he_di_internals :: v_0_1_0,FALSE,Imported and used as a datatype,TYPE-ONLY-DEP
io :: crates :: pokereval :: v_0_1_0,io :: crates :: holdem :: v_0_1_2,TRUE,imported only in bin,NOT-IN-LIB
io :: crates :: safe_vault :: v_0_18_0,io :: crates :: fake_clock :: v_0_2_0,TRUE,only in test,TEST-CODE
io :: crates :: tomllib :: v_0_1_2,io :: crates :: pirate :: v_1_0_0,TRUE,not declared in the library code,NOT-IMPORT
io :: crates :: sophon_wasm :: v_0_15_3,io :: crates :: parking_lot :: v_0_4_8,TRUE,part of binary,NOT-IN-LIB
io :: crates :: cargo_update :: v_0_6_4,io :: crates :: tabwriter :: v_0_1_25,FALSE,using a constant,TYPE-ONLY-DEP
io :: crates :: stdcli :: v_0_1_0,io :: crates :: dialoguer :: v_0_1_0,FALSE,"imports enums an structs, but no visible call",TYPE-ONLY-DEP
io :: crates :: flx :: v_0_2_2,io :: crates :: unicode_normalization :: v_0_1_5,TRUE,only for testing,TEST-CODE
io :: crates :: euclid :: v_0_10_2,io :: crates :: rustc_serialize :: v_0_3_24,TRUE,not used,NOT-IMPORT
io :: crates :: encode_unicode :: v_0_2_0,io :: crates :: ascii :: v_0_7_1,FALSE,-,CONDITIONAL
io :: crates :: rdiff :: v_0_1_0,io :: crates :: rust_crypto :: v_0_2_36,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: fitsio :: v_0_7_0,io :: crates :: fitsio_sys :: v_0_2_3,FALSE,C-symbols,C-CALL
io :: crates :: julia :: v_0_2_1,io :: crates :: liner :: v_0_4_4,TRUE,Not imported in lib.rs,NOT-IN-LIB
io :: crates :: simple_jwt :: v_0_9_0,io :: crates :: serde_derive :: v_0_8_23,FALSE,used as flag,CONDITIONAL
io :: crates :: compressor :: v_0_3_0,io :: crates :: time_calc :: v_0_11_1,FALSE,import of DS,TYPE-ONLY-DEP
io :: crates :: fruently :: v_0_7_2,io :: crates :: skeptic :: v_0_4_0,TRUE,not written in the codebase,NOT-IMPORT
io :: crates :: tar_parser :: v_0_0_1,io :: crates :: nom :: v_0_3_11,TRUE,"Only used as return type, only called in mod test {}",NOT-IMPORT
io :: crates :: piston_music :: v_0_20_0,io :: crates :: current :: v_0_1_2,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: searchspot :: v_0_11_2,io :: crates :: logger :: v_0_1_0,TRUE,"logger used in server.rs, but this is not exported as a module in lib.rs",NOT-IMPORT
io :: crates :: djangohashers :: v_0_3_0,io :: crates :: fastpbkdf2 :: v_0_1_0,FALSE,"#[cfg(feature=""fpbkdf2"")]",CONDITIONAL
io :: crates :: netopt :: v_0_1_3,io :: crates :: mqtt3 :: v_0_1_4,FALSE,empty impl of DS from the dependency,TYPE-ONLY-DEP
io :: crates :: bip_utracker :: v_0_3_2,io :: crates :: umio :: v_0_3_0,TRUE,calls are made in client/server but not exported in lib,NOT-IN-LIB
io :: crates :: opentype :: v_0_9_1,io :: crates :: postscript :: v_0_4_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: trust_dns :: v_0_9_3,io :: crates :: untrusted :: v_0_3_2,TRUE,unused depedency/not imported,NOT-IMPORT
io :: crates :: joseki :: v_0_0_1,io :: crates :: regex :: v_0_2_6,TRUE,not exported in lib,NOT-IN-LIB
io :: crates :: wabt :: v_0_1_7,io :: crates :: wabt_sys :: v_0_1_5,FALSE,unsafe bracket,C-CALL
io :: crates :: ciruela :: v_0_5_4,io :: crates :: ssh_keys :: v_0_1_0,FALSE,missing def,GENERIC-FUNC-DF
io :: crates :: gltile :: v_0_0_2,io :: crates :: pixset :: v_0_0_2,FALSE,Import of DS but no function calls,TYPE-ONLY-DEP
io :: crates :: sparkly :: v_0_1_4,io :: crates :: termion :: v_1_5_1,FALSE,-,CONDITIONAL
io :: crates :: gateway :: v_0_0_0,io :: crates :: crowbar :: v_0_2_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: num :: v_0_1_31,io :: crates :: rand :: v_0_3_22,FALSE,called but with conditional flags,CONDITIONAL
io :: crates :: compressor :: v_0_3_0,io :: crates :: dsp_chain :: v_0_13_1,FALSE,import of DS,TYPE-ONLY-DEP
io :: crates :: gl_generator :: v_0_9_0,io :: crates :: log :: v_0_4_1,FALSE,macro calls,MACRO
io :: crates :: ipnetwork :: v_0_6_0,io :: crates :: ip :: v_1_1_1,FALSE,imports an enum only,TYPE-ONLY-DEP
io :: crates :: nailgun :: v_0_1_0,io :: crates :: tempdir :: v_0_3_6,TRUE,-,NOT-IMPORT
io :: crates :: cobalt_bin :: v_0_2_0,io :: crates :: ghp :: v_0_1_2,TRUE,not imported,NOT-IMPORT
io :: crates :: conch_runtime :: v_0_1_3,io :: crates :: conch_parser :: v_0_1_0,FALSE,"Enum and Structs, building AST",TYPE-ONLY-DEP
io :: crates :: rados_hi :: v_0_2_2,io :: crates :: ceph_rust :: v_0_1_17,FALSE,calls made (C-style),C-CALL
io :: crates :: idmap :: v_0_2_0,io :: crates :: petgraph :: v_0_4_11,FALSE,-,CONDITIONAL
io :: crates :: hlua :: v_0_2_0,io :: crates :: lua52_sys :: v_0_1_1,TRUE,-,NOT-IMPORT
io :: crates :: self_meter :: v_0_4_2,io :: crates :: quick_error :: v_1_2_1,FALSE,macros,MACRO
io :: crates :: petri :: v_0_0_2,io :: crates :: len_trait :: v_0_6_1,TRUE,imported but not used,NOT-IMPORT
io :: crates :: csv_core :: v_0_1_4,io :: crates :: memchr :: v_2_0_1,FALSE,"appear as C-SYMBOL, call is preent",C-CALL
io :: crates :: gerrit_rust :: v_0_1_6,io :: crates :: toml_config :: v_0_4_0,TRUE,not imported in lib.rs,NOT-IN-LIB
io :: crates :: idmap :: v_0_2_0,io :: crates :: serde :: v_1_0_27,FALSE,-,CONDITIONAL
io :: crates :: libxml :: v_0_0_748,io :: crates :: libc :: v_0_1_12,FALSE,"C-symbol in call graph, use also c datatypes",C-CALL
io :: crates :: gear :: v_0_1_3,io :: crates :: rrt :: v_0_3_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: resource_proof :: v_0_1_0,io :: crates :: clap :: v_2_14_1,TRUE,not imported in lib.rs,NOT-IN-LIB
io :: crates :: streebog :: v_0_3_0,io :: crates :: digest :: v_0_4_0,FALSE,"no calls, imported as DS",TYPE-ONLY-DEP
io :: crates :: statsd :: v_0_7_0,io :: crates :: clock_ticks :: v_0_1_1,TRUE,only called in client.rs (not part of lib),NOT-IN-LIB
io :: crates :: cssparser :: v_0_22_0,io :: crates :: cssparser_macros :: v_0_3_0,FALSE,fns invoked for creating macros,MACRO
io :: crates :: minutae :: v_0_2_0,io :: crates :: uuid :: v_0_3_1,FALSE,"Dynamic call, see &entity ",DYNAMIC-CALL
io :: crates :: telegram_bot_client :: v_0_1_0,io :: crates :: telegram_bot_types :: v_0_1_4,TRUE,-,NOT-IMPORT
io :: crates :: i3nator :: v_1_0_0,io :: crates :: getch :: v_0_1_1,FALSE,-,CONDITIONAL
io :: crates :: colored :: v_1_0_0,io :: crates :: ansi_term :: v_0_7_5,TRUE,only used in test,TEST-CODE
io :: crates :: rudy :: v_0_1_0,io :: crates :: nodrop :: v_0_1_12,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: tokio_file_unix :: v_0_2_0,io :: crates :: mio :: v_0_6_13,FALSE,a dynamic invocation,DYNAMIC-CALL
io :: crates :: riscv :: v_0_1_3,io :: crates :: bare_metal :: v_0_1_1,FALSE,unsafe closure,C-CALL
io :: crates :: decimal :: v_2_0_0,io :: crates :: bitflags :: v_1_0_1,FALSE,macro call,MACRO
io :: crates :: ranagrams :: v_0_1_2,io :: crates :: mpmc :: v_0_1_5,TRUE,not imported,NOT-IMPORT
io :: crates :: lithos :: v_0_14_2,io :: crates :: unshare :: v_0_2_0,TRUE,not imported in lib.rs,NOT-IN-LIB
io :: crates :: rs_es :: v_0_7_0,io :: crates :: serde_derive :: v_0_8_23,FALSE,-,CONDITIONAL
io :: crates :: topaz :: v_0_2_0,io :: crates :: time :: v_0_1_39,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: postgres_binary_copy :: v_0_1_1,io :: crates :: postgres :: v_0_10_2,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: r2d2 :: v_0_8_0,io :: crates :: antidote :: v_1_0_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: rodio :: v_0_3_3,io :: crates :: vorbis :: v_0_0_14,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: corruption :: v_0_1_2,io :: crates :: handlebars :: v_0_20_5,FALSE,generic function call,CALL-IN-GEN-DEF
io :: crates :: nsutils :: v_0_0_5,io :: crates :: unshare :: v_0_1_15,FALSE,"import, use and assign of enum values",TYPE-ONLY-DEP
io :: crates :: opus_parse :: v_0_0_3,io :: crates :: minidom :: v_0_3_2,TRUE,"unused dependency, not imported",NOT-IMPORT
io :: crates :: rucaja :: v_0_4_2,io :: crates :: jni_sys :: v_0_3_0,FALSE,calls made inside unsafe closure,C-CALL
io :: crates :: len_trait :: v_0_2_3,io :: crates :: enum_set :: v_0_0_7,FALSE,Conditional comp (although no calls made),CONDITIONAL
io :: crates :: miscreant :: v_0_3_0,io :: crates :: cmac :: v_0_1_0,FALSE,only declared and used as types,TYPE-ONLY-DEP
io :: crates :: merkle :: v_0_1_0,io :: crates :: rust_crypto :: v_0_2_36,TRUE,not imported,NOT-IMPORT
io :: crates :: npnc :: v_0_1_1,io :: crates :: hazard :: v_0_2_0,FALSE,-,CONDITIONAL
io :: crates :: rotor_dns :: v_0_1_0,io :: crates :: rotor :: v_0_5_1,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: poisson :: v_0_7_0,io :: crates :: lazy_static :: v_0_1_16,FALSE,macro,MACRO
io :: crates :: cocaine :: v_0_1_0,io :: crates :: rmp :: v_0_8_7,TRUE,empty package,NOT-IMPORT
